Frecuencia (Hz)	volumen (dB)
86,132813	-2,573586
172,265625	-5,524795
258,398438	-7,572147
344,531250	-9,474542
430,664063	-15,232128
516,796875	-32,016014
602,929688	-47,303329
689,062500	-55,300274
775,195313	-60,781948
861,328125	-64,981728
947,460938	-68,414993
1033,593750	-71,340408
1119,726563	-73,895935
1205,859375	-76,182663
1291,992188	-78,251404
1378,125000	-80,146179
1464,257813	-81,906082
1550,390625	-83,527039
1636,523438	-85,064346
1722,656250	-86,490868
1808,789063	-87,835861
1894,921875	-89,123871
1981,054688	-90,353996
2067,187500	-91,511185
2153,320313	-92,618469
2239,453125	-93,674133
2325,585938	-94,698509
2411,718750	-95,677002
2497,851563	-96,583298
2583,984375	-97,569794
2670,117188	-98,349701
2756,250000	-99,228729
2842,382813	-100,044937
2928,515625	-100,897202
3014,648438	-101,552002
3100,781250	-102,333847
3186,914063	-103,017136
3273,046875	-103,776428
3359,179688	-104,353661
3445,312500	-105,205856
3531,445313	-105,633682
3617,578125	-106,351891
3703,710938	-106,808250
3789,843750	-107,673386
3875,976563	-108,006409
3962,109375	-108,567970
4048,242188	-109,090202
4134,375000	-109,591721
4220,507813	-110,110886
4306,640625	-110,650475
4392,773438	-110,856857
4478,906250	-111,609711
4565,039063	-111,970566
4651,171875	-112,192604
4737,304688	-112,809158
4823,437500	-112,963783
4909,570313	-113,694092
4995,703125	-113,560143
5081,835938	-114,209450
5167,968750	-114,438721
5254,101563	-114,768135
5340,234375	-115,116333
5426,367188	-115,633125
5512,500000	-115,518501
5598,632813	-116,165527
5684,765625	-115,908073
5770,898438	-116,232681
5857,031250	-116,474174
5943,164063	-116,198845
6029,296875	-117,088425
6115,429688	-117,187256
6201,562500	-117,412895
6287,695313	-117,784233
6373,828125	-117,771126
6459,960938	-117,803047
6546,093750	-117,887383
6632,226563	-118,404846
6718,359375	-118,374901
6804,492188	-118,698135
6890,625000	-118,272293
6976,757813	-118,694054
7062,890625	-118,801048
7149,023438	-118,551453
7235,156250	-118,559906
7321,289063	-118,955750
7407,421875	-118,814896
7493,554688	-119,108353
7579,687500	-119,349754
7665,820313	-119,098183
7751,953125	-119,350548
7838,085938	-119,383553
7924,218750	-119,886650
8010,351563	-119,488274
8096,484375	-119,408440
8182,617188	-119,895393
8268,750000	-119,968697
8354,882813	-119,788490
8441,015625	-119,744781
8527,148438	-119,506050
8613,281250	-119,987656
